;adr;price;rooms;area;floor;items
1158;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);144 609 BYN;3-комн.;58.18 м2;18/25 этаж;18/25 каркасно-блочный, площадь 58,18/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1159;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);144 609 BYN;3-комн.;58.18 м2;17/25 этаж;17/25 каркасно-блочный, площадь 58,18/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1160;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);144 609 BYN;3-комн.;58.18 м2;21/25 этаж;21/25 каркасно-блочный, площадь 58,18/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1161;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);155 270 BYN;3-комн.;62.47 м2;17/25 этаж;17/25 каркасно-блочный, площадь 62,47/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1162;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);144 609 BYN;3-комн.;58.18 м2;20/25 этаж;20/25 каркасно-блочный, площадь 58,18/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1163;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);157 459 BYN;3-комн.;63.35 м2;6/25 этаж;6/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1164;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);156 638 BYN;3-комн.;63.02 м2;16/25 этаж;16/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1165;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);157 459 BYN;3-комн.;63.35 м2;12/25 этаж;12/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1166;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);156 638 BYN;3-комн.;63.02 м2;16/25 этаж;16/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1167;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);80 470 BYN;1-комн.;31.45 м2;14/25 этаж;14/25 каркасно-блочный, площадь 31,45/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1168;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);157 459 BYN;3-комн.;63.35 м2;12/25 этаж;12/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1169;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);114 603 BYN;2-комн.;44.79 м2;14/25 этаж;14/25 каркасно-блочный, площадь 44,79/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1170;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);114 603 BYN;2-комн.;44.79 м2;15/25 этаж;15/25 каркасно-блочный, площадь 44,79/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1171;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);114 115 BYN;2-комн.;44.6 м2;17/25 этаж;17/25 каркасно-блочный, площадь 44,60/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1172;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);157 459 BYN;3-комн.;63.35 м2;13/25 этаж;13/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1173;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 102 BYN;3-комн.;63.02 м2;20/25 этаж;20/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1174;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);157 459 BYN;3-комн.;63.35 м2;13/25 этаж;13/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1175;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 102 BYN;3-комн.;63.02 м2;21/25 этаж;21/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1176;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);113 029 BYN;2-комн.;44.6 м2;22/25 этаж;22/25 каркасно-блочный, площадь 44,60/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1177;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 102 BYN;3-комн.;63.02 м2;22/25 этаж;22/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1178;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 102 BYN;3-комн.;63.02 м2;24/25 этаж;24/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1179;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);191 096 BYN;1-комн.;46.13 м2;1/25 этаж;1/25 каркасно-блочный, площадь 46,13/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1180;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);155 270 BYN;3-комн.;62.47 м2;22/25 этаж;22/25 каркасно-блочный, площадь 62,47/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1181;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);156 638 BYN;3-комн.;63.02 м2;18/25 этаж;18/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1182;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);155 270 BYN;3-комн.;62.47 м2;18/25 этаж;18/25 каркасно-блочный, площадь 62,47/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1183;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);144 609 BYN;3-комн.;58.18 м2;18/25 этаж;18/25 каркасно-блочный, площадь 58,18/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1184;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);155 270 BYN;3-комн.;62.47 м2;21/25 этаж;21/25 каркасно-блочный, площадь 62,47/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1185;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);155 270 BYN;3-комн.;62.47 м2;23/25 этаж;23/25 каркасно-блочный, площадь 62,47/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1186;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);144 609 BYN;3-комн.;58.18 м2;19/25 этаж;19/25 каркасно-блочный, площадь 58,18/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1187;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);155 270 BYN;3-комн.;62.47 м2;23/25 этаж;23/25 каркасно-блочный, площадь 62,47/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1188;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);155 270 BYN;3-комн.;62.47 м2;19/25 этаж;19/25 каркасно-блочный, площадь 62,47/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1189;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);80 829 BYN;1-комн.;31.59 м2;23/25 этаж;23/25 каркасно-блочный, площадь 31,59/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1190;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 102 BYN;3-комн.;63.02 м2;24/25 этаж;24/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1191;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);104 412 BYN;2-комн.;41.2 м2;21/25 этаж;21/25 каркасно-блочный, площадь 41,20/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1192;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);156 638 BYN;3-комн.;63.02 м2;18/25 этаж;18/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1193;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);156 638 BYN;3-комн.;63.02 м2;17/25 этаж;17/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1194;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 102 BYN;3-комн.;63.02 м2;25/25 этаж;25/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1195;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);156 638 BYN;3-комн.;63.02 м2;19/25 этаж;19/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1196;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);156 638 BYN;3-комн.;63.02 м2;17/25 этаж;17/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1197;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 102 BYN;3-комн.;63.02 м2;25/25 этаж;25/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1198;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);80 827 BYN;1-комн.;31.59 м2;21/25 этаж;21/25 каркасно-блочный, площадь 31,59/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1199;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);144 609 BYN;3-комн.;58.18 м2;23/25 этаж;23/25 каркасно-блочный, площадь 58,18/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1200;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);144 609 BYN;3-комн.;58.18 м2;20/25 этаж;20/25 каркасно-блочный, площадь 58,18/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1201;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);155 270 BYN;3-комн.;62.47 м2;20/25 этаж;20/25 каркасно-блочный, площадь 62,47/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1202;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);144 609 BYN;3-комн.;58.18 м2;24/25 этаж;24/25 каркасно-блочный, площадь 58,18/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1203;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);155 270 BYN;3-комн.;62.47 м2;24/25 этаж;24/25 каркасно-блочный, площадь 62,47/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1204;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);144 609 BYN;3-комн.;58.18 м2;25/25 этаж;25/25 каркасно-блочный, площадь 58,18/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1205;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);104 412 BYN;2-комн.;41.2 м2;25/25 этаж;25/25 каркасно-блочный, площадь 41,20/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1206;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);104 412 BYN;2-комн.;41.2 м2;22/25 этаж;22/25 каркасно-блочный, площадь 41,20/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1207;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;8/25 этаж;8/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1208;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);81 289 BYN;1-комн.;31.77 м2;15/25 этаж;15/25 каркасно-блочный, площадь 31,77/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1209;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);80 188 BYN;1-комн.;31.34 м2;19/25 этаж;19/25 каркасно-блочный, площадь 31,34/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1210;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);114 115 BYN;2-комн.;44.6 м2;19/25 этаж;19/25 каркасно-блочный, площадь 44,60/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1211;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);114 115 BYN;2-комн.;44.6 м2;18/25 этаж;18/25 каркасно-блочный, площадь 44,60/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1212;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);144 609 BYN;3-комн.;58.18 м2;22/25 этаж;22/25 каркасно-блочный, площадь 58,18/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1213;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);144 609 BYN;3-комн.;58.18 м2;24/25 этаж;24/25 каркасно-блочный, площадь 58,18/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1214;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);155 270 BYN;3-комн.;62.47 м2;24/25 этаж;24/25 каркасно-блочный, площадь 62,47/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1215;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);144 609 BYN;3-комн.;58.18 м2;22/25 этаж;22/25 каркасно-блочный, площадь 58,18/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1216;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);144 609 BYN;3-комн.;58.18 м2;21/25 этаж;21/25 каркасно-блочный, площадь 58,18/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1217;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);155 270 BYN;3-комн.;62.47 м2;22/25 этаж;22/25 каркасно-блочный, площадь 62,47/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1218;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);155 271 BYN;3-комн.;62.47 м2;25/25 этаж;25/25 каркасно-блочный, площадь 62,47/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1219;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;4/25 этаж;4/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1220;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);201 660 BYN;2-комн.;48.68 м2;1/25 этаж;1/25 каркасно-блочный, площадь 48,68/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1221;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);270 053 BYN;2-комн.;65.19 м2;1/25 этаж;1/25 каркасно-блочный, площадь 65,19/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1222;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);80 239 BYN;1-комн.;31.36 м2;2/25 этаж;2/25 каркасно-блочный, площадь 31,36/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1223;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);113 258 BYN;2-комн.;44.69 м2;2/25 этаж;2/25 каркасно-блочный, площадь 44,69/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1224;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);114 115 BYN;2-комн.;44.6 м2;23/25 этаж;23/25 каркасно-блочный, площадь 44,60/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1225;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);156 638 BYN;3-комн.;63.02 м2;22/25 этаж;22/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1226;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);156 638 BYN;3-комн.;63.02 м2;22/25 этаж;22/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1227;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);80 188 BYN;1-комн.;31.34 м2;23/25 этаж;23/25 каркасно-блочный, площадь 31,34/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1228;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);105 416 BYN;2-комн.;41.2 м2;20/25 этаж;20/25 каркасно-блочный, площадь 41,20/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1229;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);156 638 BYN;3-комн.;63.02 м2;20/25 этаж;20/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1230;г. Минск, ул. Игоря Лученка, д.30 (Октябрьский район);144 609 BYN;3-комн.;58.18 м2;25/25 этаж;25/25 каркасно-блочный, площадь 58,18/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1231;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;7/25 этаж;7/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1232;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;9/25 этаж;9/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1233;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);156 638 BYN;3-комн.;63.02 м2;20/25 этаж;20/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1234;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);114 115 BYN;2-комн.;44.6 м2;21/25 этаж;21/25 каркасно-блочный, площадь 44,60/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1235;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);156 638 BYN;3-комн.;63.02 м2;19/25 этаж;19/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1236;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);114 115 BYN;2-комн.;44.6 м2;20/25 этаж;20/25 каркасно-блочный, площадь 44,60/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1237;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;11/25 этаж;11/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1238;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);113 511 BYN;2-комн.;44.79 м2;12/25 этаж;12/25 каркасно-блочный, площадь 44,79/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1239;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);156 638 BYN;3-комн.;63.02 м2;21/25 этаж;21/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1240;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);80 188 BYN;1-комн.;31.34 м2;20/25 этаж;20/25 каркасно-блочный, площадь 31,34/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1241;г. Минск, ул. Николы Теслы, д.32 (Октябрьский район);114 115 BYN;2-комн.;44.6 м2;22/25 этаж;22/25 каркасно-блочный, площадь 44,60/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1242;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;12/25 этаж;12/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1243;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;12/25 этаж;12/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1244;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;10/25 этаж;10/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1245;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;13/25 этаж;13/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1246;г. Минск, ул. Николы Теслы, д.30 (Октябрьский район);81 289 BYN;1-комн.;31.77 м2;13/25 этаж;13/25 каркасно-блочный, площадь 31,77/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1247;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;13/25 этаж;13/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1248;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;4/25 этаж;4/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1249;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);307 585 BYN;3-комн.;74.25 м2;1/25 этаж;1/25 каркасно-блочный, площадь 74,25/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1250;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);270 053 BYN;2-комн.;65.19 м2;1/25 этаж;1/25 каркасно-блочный, площадь 65,19/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1251;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);80 239 BYN;1-комн.;31.36 м2;2/25 этаж;2/25 каркасно-блочный, площадь 31,36/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1252;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;15/25 этаж;15/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1253;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;3/25 этаж;3/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1254;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);113 258 BYN;2-комн.;44.69 м2;2/25 этаж;2/25 каркасно-блочный, площадь 44,69/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1255;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);155 102 BYN;3-комн.;63.02 м2;21/25 этаж;21/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1256;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);155 102 BYN;3-комн.;63.02 м2;24/25 этаж;24/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1257;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);191 096 BYN;1-комн.;46.13 м2;1/25 этаж;1/25 каркасно-блочный, площадь 46,13/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1258;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);201 660 BYN;2-комн.;48.68 м2;1/25 этаж;1/25 каркасно-блочный, площадь 48,68/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1259;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);81 058 BYN;1-комн.;31.68 м2;2/25 этаж;2/25 каркасно-блочный, площадь 31,68/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1260;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;10/25 этаж;10/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1261;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);221 917 BYN;3-комн.;53.57 м2;1/25 этаж;1/25 каркасно-блочный, площадь 53,57/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1262;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);154 103 BYN;1-комн.;37.2 м2;1/25 этаж;1/25 каркасно-блочный, площадь 37,20/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1263;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;8/25 этаж;8/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1264;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;9/25 этаж;9/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1265;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;14/25 этаж;14/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1266;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);155 916 BYN;3-комн.;63.35 м2;12/25 этаж;12/25 каркасно-блочный, площадь 63,35/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1267;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);155 102 BYN;3-комн.;63.02 м2;16/25 этаж;16/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
1268;г. Минск, ул. Николы Теслы, д.28 (Октябрьский район);155 102 BYN;3-комн.;63.02 м2;17/25 этаж;17/25 каркасно-блочный, площадь 63,02/—/—, лоджия застекленная, телефон: нет, год постройки 2023, Свободная планировка, новостройка.
